"Topic1","Topic2","Topic3","Topic4","Topic5","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
0.199975454319231,0.200023055436587,0.199993166810017,0.199991444941625,0.20001687849254,"report","oceans","oceans","word","ice"
0.199975454319231,0.200023055436587,0.199993166810017,0.199991444941625,0.20001687849254,"response","dhow","eater","ice","report"
0.199975454319231,0.200023055436587,0.199993166810017,0.199991444941625,0.20001687849254,"dhow","mountain","report","climate","mountain"
0.199975454319231,0.200023055436587,0.199993166810017,0.199991444941625,0.20001687849254,"oceans","day","warn","sang","cache"
0.199975454319231,0.200023055436587,0.199993166810017,0.199991444941625,0.20001687849254,"edger","already","day","oceans","day"
0.199975454319231,0.200023055436587,0.199993166810017,0.199991444941625,0.20001687849254,"sang","report","dhow","warn","humane"
0.199975454319231,0.200023055436587,0.199993166810017,0.199991444941625,0.20001687849254,"platen","privacy","climate","car","sang"
0.199975454319231,0.200023055436587,0.199993166810017,0.199991444941625,0.20001687849254,"climate","response","car","platen","police"
0.199975454319231,0.200023055436587,0.199993166810017,0.199991444941625,0.20001687849254,"privacy","sang","sang","police","already"
0.199975454319231,0.200023055436587,0.199993166810017,0.199991444941625,0.20001687849254,"mountain","climate","lacier","response","impacts"
