"word","stemmed_word","corrected_word"
"air","air","air"
"pollution","pollut","pollution"
"consists","consist","consists"
"chemicals","chemic","chemicals"
"particles","particl","particles"
"air","air","air"
"harm","harm","harm"
"health","health","health"
"humans","human","humans"
"animals","anim","animals"
"plants","plant","plants"
"damage","damag","damage"
"buildings","build","buildings"
"biology","biolog","biology"
"ecology","ecolog","ecology"
"earth","earth","earth"
"science","scienc","science"
"geography","geographi","geography"
"air","air","air"
"pollution","pollut","pollution"
"consists","consist","consists"
"chemicals","chemic","chemicals"
"particles","particl","particles"
"air","air","air"
"harm","harm","harm"
"health","health","health"
"humans","human","humans"
"animals","anim","animals"
"plants","plant","plants"
"damage","damag","damage"
"buildings","build","buildings"
"pollutants","pollut","pollutants"
"air","air","air"
"forms","form","forms"
"gasses","gass","gasses"
"solid","solid","solid"
"particles","particl","particles"
"liquid","liquid","liquid"
"droplets","droplet","droplets"
"sources","sourc","sources"
"air","air","air"
"pollution","pollut","pollution"
"pollution","pollut","pollution"
"enters","enter","enters"
"earth","earth","earth"
"atmosphere","atmospher","atmosphere"
"air","air","air"
"pollution","pollut","pollution"
"created","creat","created"
"people","peopl","people"
"burning","burn","burning"
"fossil","fossil","fossil"
"fuels","fuel","fuels"
"include","includ","include"
"coal","coal","coal"
"natural","natur","natural"
"gas","gas","gas"
"oil","oil","oil"
"human","human","human"
"caused","caus","caused"
"air","air","air"
"pollution","pollut","pollution"
"mid","mid","mid"
"europe","europ","Europe"
"north","north","north"
"america","america","America"
"entered","enter","entered"
"period","period","period"
"time","time","time"
"industrial","industri","industrial"
"revolution","revolut","revolution"
"time","time","time"
"rise","rise","rise"
"air","air","air"
"pollution","pollut","pollution"
"caused","caus","caused"
"people","peopl","people"
"burning","burn","burning"
"coal","coal","coal"
"heat","heat","heat"
"homes","home","homes"
"power","power","power"
"factories","factori","factories"
"engines","engin","engines"
"burning","burn","burning"
"fossil","fossil","fossil"
"fuelsin","fuelsin","fuel sin"
"vehicles","vehicl","vehicles"
"airplanes","airplan","airplanes"
"power","power","power"
"plants","plant","plants"
"factoriesis","factoriesi","factories is"
"major","major","major"
"source","sourc","source"
"air","air","air"
"pollutants","pollut","pollutants"
"meaning","mean","meaning"
"substances","substanc","substances"
"contaminate","contamin","contaminate"
"air","air","air"
"cigarette","cigarett","cigarette"
"cigarette","cigarett","cigarette"
"vape","vape","vape"
"smoke","smoke","smoke"
"considered","consid","considered"
"air","air","air"
"pollution","pollut","pollution"
"human","human","human"
"sources","sourc","sources"
"pollution","pollut","pollution"
"called","call","called"
"anthropogenic","anthropogen","anthropocentric"
"sources","sourc","sources"
"types","type","types"
"air","air","air"
"pollution","pollut","pollution"
"smoke","smoke","smoke"
"wildfires","wildfir","wildfires"
"ash","ash","ash"
"volcanoes","volcano","volcanoes"
"windblown","windblown","windblown"
"sand","sand","sand"
"dust","dust","dust"
"occur","occur","occur"
"naturally","natur","naturally"
"called","call","called"
"natural","natur","natural"
"sources","sourc","sources"
"air","air","air"
"pollution","pollut","pollution"
"common","common","common"
"cities","citi","cities"
"emissions","emiss","emissions"
"sources","sourc","sources"
"concentrated","concentr","concentrated"
"mountains","mountain","mountains"
"tall","tall","tall"
"buildings","build","buildings"
"cities","citi","cities"
"prevent","prevent","prevent"
"air","air","air"
"pollution","pollut","pollution"
"spreading","spread","spreading"
"air","air","air"
"pollution","pollut","pollution"
"called","call","called"
"smog","smog","smog"
"appears","appear","appears"
"cloud","cloud","cloud"
"air","air","air"
"murky","murki","murky"
"word","word","word"
"smog","smog","smog"
"combining","combin","combining"
"words","word","words"
"smoke","smoke","smoke"
"fog","fog","fog"
"cities","citi","cities"
"economically","econom","economically"
"developing","develop","developing"
"nations","nation","nations"
"tend","tend","tend"
"worse","wors","worse"
"air","air","air"
"pollution","pollut","pollution"
"cities","citi","cities"
"economically","econom","economically"
"developed","develop","developed"
"nations","nation","nations"
"fewer","fewer","fewer"
"regulations","regul","regulations"
"lower","lower","lower"
"financial","financi","financial"
"resources","resourc","resources"
"lack","lack","lack"
"access","access","access"
"cleaner","cleaner","cleaner"
"fuels","fuel","fuels"
