"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","report","oceans","oceans","word","ice"
"2","response","dhow","eater","ice","report"
"3","dhow","mountain","report","climate","mountain"
"4","oceans","day","warn","sang","cache"
"5","edger","already","day","oceans","day"
"6","sang","report","dhow","warn","humane"
"7","platen","privacy","climate","car","sang"
"8","climate","response","car","platen","police"
"9","privacy","sang","sang","police","already"
"10","mountain","climate","lacier","response","impacts"
